state,week_start,weekly_cases,pop2019,LandArea,Percentage_over_65,infection_rate,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,population_density,government_response_index,containment_index,economic_support_index,stringency_index
South Dakota,2020-03-08T00:00:00Z,31,880437,75811,0.163,3.5209787866707103,2.054263565891473,26.5,2.392857142857143,11.613578504438669,25.145714285714284,27.209999999999997,10.714285714285714,32.01285714285714
South Dakota,2020-03-15T00:00:00Z,82,880437,75811,0.163,9.31355679054833,-17.818840579710145,6.476190476190476,-8.875,11.613578504438669,37.722857142857144,39.54,25,48.54142857142857
South Dakota,2020-03-22T00:00:00Z,292,880437,75811,0.163,33.16534857122088,-34.73103448275862,20.666666666666668,-19.161290322580644,11.613578504438669,47.39714285714285,49.06857142857143,35.714285714285715,63.35857142857142
South Dakota,2020-03-29T00:00:00Z,992,880437,75811,0.163,112.67132117346273,-38.826388888888886,37.95454545454545,-25.91176470588235,11.613578504438669,52.9,51.534285714285716,62.5,66.79714285714286
South Dakota,2020-04-05T00:00:00Z,2850,880437,75811,0.163,323.7028884519847,-36.16923076923077,53.42857142857143,-27.210526315789473,11.613578504438669,55.395714285714284,54.37571428571429,62.5,67.85428571428572
South Dakota,2020-04-12T00:00:00Z,8018,880437,75811,0.163,910.6841261782502,-40,8.047619047619047,-25.257142857142856,11.613578504438669,55.47,54.46,62.5,67.59
South Dakota,2020-04-19T00:00:00Z,13076,880437,75811,0.163,1485.1715682098777,-29.17543859649123,76.76190476190476,-19.818181818181817,11.613578504438669,55.47,54.46,62.5,67.59
South Dakota,2020-04-26T00:00:00Z,16704,880437,75811,0.163,1897.239666211211,-19.27777777777778,119.5,-11.32258064516129,11.613578504438669,50.708571428571425,49.02,62.5,56.48142857142857
South Dakota,2020-05-03T00:00:00Z,20244,880437,75811,0.163,2299.312727656834,-15.462962962962964,86.38095238095238,-12.357142857142858,11.613578504438669,47.14,44.94,62.5,49.07
South Dakota,2020-05-10T00:00:00Z,26164,880437,75811,0.163,2971.7060959500795,-11.983870967741936,83.47619047619048,-7.28,11.613578504438669,47.14,44.94,62.5,49.07
South Dakota,2020-05-17T00:00:00Z,29273,880437,75811,0.163,3324.8261942648933,-2.948051948051948,187,3.0833333333333335,11.613578504438669,48.92285714285714,46.98,62.5,49.07
South Dakota,2020-05-24T00:00:00Z,33131,880437,75811,0.163,3763.0176832641064,-0.5974025974025974,209.75,4.846153846153846,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-05-31T00:00:00Z,36147,880437,75811,0.163,4105.574845218908,3.986842105263158,224.2,10.956521739130435,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-06-07T00:00:00Z,39276,880437,75811,0.163,4460.966542750929,6.184210526315789,234.5,15.72,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-06-14T00:00:00Z,42334,880437,75811,0.163,4808.294063061866,9.893333333333333,253.76923076923077,22.08695652173913,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-06-21T00:00:00Z,45035,880437,75811,0.163,5115.073537345659,10.053333333333333,312.5,27.90909090909091,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-06-28T00:00:00Z,47886,880437,75811,0.163,5438.890005758504,13.946666666666667,340.3636363636364,29,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-07-05T00:00:00Z,50764,880437,75811,0.163,5765.773133114578,10.973333333333333,316.1666666666667,32,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-07-12T00:00:00Z,53592,880437,75811,0.163,6086.977262427636,12.88,329,31.90909090909091,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-07-19T00:00:00Z,56593,880437,75811,0.163,6427.830724969533,12.44,348.5,32.09090909090909,11.613578504438669,49.22,47.32,62.5,49.07
South Dakota,2020-07-26T00:00:00Z,60288,880437,75811,0.163,6847.508680348509,12.293333333333333,327.38461538461536,33.04761904761905,11.613578504438669,48.325714285714284,47.32,55.357142857142854,49.07
South Dakota,2020-08-02T00:00:00Z,64343,880437,75811,0.163,7308.07542163721,17.293333333333333,345.4,48.5,11.613578504438669,46.09,47.32,37.5,49.07
South Dakota,2020-08-09T00:00:00Z,68835,880437,75811,0.163,7818.276605821882,23.706666666666667,371.9230769230769,52.72727272727273,11.613578504438669,46.09,47.32,37.5,49.07
South Dakota,2020-08-16T00:00:00Z,74351,880437,75811,0.163,8444.783669927547,15.821428571428571,407,51.666666666666664,11.613578504438669,44.901428571428575,45.96,37.5,46.955714285714286
South Dakota,2020-08-23T00:00:00Z,83430,880437,75811,0.163,9475.976134578625,9.047619047619047,NA,NA,11.613578504438669,43.56428571428571,44.43,37.5,44.57714285714286
South Dakota,2020-08-30T00:00:00Z,98405,880437,75811,0.163,11176.836048462297,9.761904761904763,NA,NA,11.613578504438669,41.628571428571426,43.75,26.785714285714285,43.52
South Dakota,2020-09-06T00:00:00Z,109771,880437,75811,0.163,12467.785883600985,5.894736842105263,203,14.625,11.613578504438669,41.035714285714285,42.05,33.92857142857143,40.870000000000005
South Dakota,2020-09-13T00:00:00Z,121929,880437,75811,0.163,13848.691047741066,6.933333333333334,231.6,15.73076923076923,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-09-20T00:00:00Z,138172,880437,75811,0.163,15693.570351995655,4.565789473684211,199.46666666666667,12.32,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-09-27T00:00:00Z,158309,880437,75811,0.163,17980.73002384043,3.220779220779221,147.8,13.25,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-10-04T00:00:00Z,181401,880437,75811,0.163,20603.51848002753,2.3157894736842106,162.15,10.4,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-10-11T00:00:00Z,212471,880437,75811,0.163,24132.447863958467,0.2564102564102564,125.28571428571429,8.12,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-10-18T00:00:00Z,247966,880437,75811,0.163,28163.96857469643,-7.405063291139241,29.16,-4.925925925925926,11.613578504438669,40.362857142857145,42.56142857142857,25,41.66428571428572
South Dakota,2020-10-25T00:00:00Z,295225,880437,75811,0.163,33531.6439449955,-6.346153846153846,28.347826086956523,-6.935483870967742,11.613578504438669,41.927142857142854,44.348571428571425,25,44.44571428571428
South Dakota,2020-11-01T00:00:00Z,351585,880437,75811,0.163,39933.01053908457,-4.5,68.78260869565217,-6.451612903225806,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-11-08T00:00:00Z,414970,880437,75811,0.163,47132.27635821757,-10.275,6.88,-8.758620689655173,11.613578504438669,39.32,41.37,25,39.81
South Dakota,2020-11-15T00:00:00Z,480640,880437,75811,0.163,54591.07238791645,-8.30379746835443,27.47826086956522,-7.866666666666666,11.613578504438669,41.41,43.75,25,43.52
